"Fund","Scheme","Category","Sub Category","Rating","Units Held","Average Cost Price","Value At Cost","Last Recorded NAV On","Last Recorded NAV","Value at NAV","Realized Profit/Loss","Profit/ Loss","Profit/ Loss %","Research Recommends"
"BANK OF INDIA INVESTMENT MANAGERS PVT LTD","Bank Of India Mid & Small Cap Equity & Debt Fund Regular Plan - Growth","Hybrid","Aggressive Hybrid Fund","4","494.9580","37.78","18699.10","23-Jan-2026","36.53","18,080.82","0.00","-618.28","3.31","Silver"
"ITI Asset Management Limited","ITI Mid Cap Fund- Regular Plan- Growth","Equity","Mid Cap Fund","0","780.9040","21.77","16999.13","23-Jan-2026","21.02","16,414.60","0.00","-584.53","3.44","N/A"
"UTI MUTUAL FUND","UTI Nifty200 Momentum 30 Index Fund - Regular Plan Growth","Others","Index Fund","0","794.3140","20.14","15999.20","23-Jan-2026","20.3818","16,189.55","0.00","190.35","1.19","N/A"
"INVESCO MUTUAL FUND","Invesco India Midcap Fund - Growth","Equity","Mid Cap Fund","4","93.6330","181.55","16999.13","23-Jan-2026","169.99","15,916.67","0.00","-1082.46","6.37","Silver"
"MAHINDRA ASSET MANAGEMENT COMPANY PRIVATE LIMITED","Mahindra Manulife Multi Cap Fund - Regular - Growth","Equity","Multi Cap Fund","0","451.6840","33.21","14999.28","23-Jan-2026","34.605","15,630.52","0.00","631.24","4.21","N/A"
"BANK OF INDIA INVESTMENT MANAGERS PVT LTD","Bank Of India Elss Tax Saver - Regular Plan - Growth","Equity","Tax Planning","3","86.2230","173.96","14999.23","23-Jan-2026","154.12","13,288.69","0.00","-1710.54","11.40","Silver"
"AXIS ASSET MANAGEMENT COMPANY LIMITED","Axis Nifty Bank Index Fund - Regular Plan - Growth","Others","Index Fund","0","898.7400","11.24","10099.50","23-Jan-2026","11.8708","10,668.76","0.00","569.26","5.64","N/A"
"NIPPON INDIA MUTUAL FUND","Nippon India Silver ETF FOF - Growth","Others","Fund Of Funds Domestic Or Overseas Fund","0","229.9070","22.18","5099.75","23-Jan-2026","46.2146","10,625.06","0.00","5525.31","108.34","N/A"
"SBI FUNDS MANAGEMENT PVT LTD","SBI Banking and Financial Services Fund - Regular Plan - IDCW","Equity","Sectoral or Thematic Fund","4","185.4040","40.45","7499.61","23-Jan-2026","40.2604","7,464.44","0.00","-35.17","0.47","N/A"
"NIPPON INDIA MUTUAL FUND","Nippon India Large Cap Fund - Growth Plan - Growth","Equity","Large Cap Fund","5","80.7640","75.52","6099.69","23-Jan-2026","89.7164","7,245.86","0.00","1146.16","18.79","Gold"
"ADITYA BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LTD","ADITYA BIRLA SUN LIFE INTERNATIONAL EQUITY FUND PLAN A GROWTH","Others","Fund Of Funds Domestic Or Overseas Fund","0","132.1610","45.40","5999.71","23-Jan-2026","48.6856","6,434.34","0.00","434.62","7.24","N/A"
"AXIS ASSET MANAGEMENT COMPANY LIMITED","AXIS GOLD FUND - GROWTH","Others","Fund Of Funds Domestic Or Overseas Fund","5","137.7760","37.01","5099.76","23-Jan-2026","44.6426","6,150.68","0.00","1050.91","20.61","N/A"
"MOTILAL OSWAL ASSET MANAGEMENT COMPANY LIMITED","Motilal Oswal Nifty Bank Index Fund-Regular Growth","Equity","Index Fund","0","279.6130","19.67","5499.74","23-Jan-2026","20.713","5,791.62","0.00","291.89","5.31","N/A"
"ICICI PRUDENTIAL MUTUAL FUND","ICICI Prudential Dividend Yield Equity Fund - Growth","Equity","Dividend Yield Fund","0","99.0640","50.47","4999.76","23-Jan-2026","53.05","5,255.35","0.00","255.59","5.11","Silver"
"NIPPON INDIA MUTUAL FUND","Nippon India Value Fund - Growth Option","Equity","Value Fund","4","21.0260","190.23","3999.73","23-Jan-2026","223.4227","4,697.69","0.00","697.95","17.45","Gold"
"Quant Money Managers Ltd","Quant Small Cap Fund Regular Plan - Growth","Equity","Small Cap Fund","4","19.7730","265.33","5246.31","23-Jan-2026","229.4621","4,537.15","-2800.79","-709.15","13.52","Gold"
"MAHINDRA ASSET MANAGEMENT COMPANY PRIVATE LIMITED","Mahindra Manulife Mid Cap Fund - Regular - Growth","Equity","Mid Cap Fund","3","71.1200","28.12","1999.89","23-Jan-2026","32.4341","2,306.71","0.00","306.82","15.34","N/A"
